update,train_loss,train_preference_mae,train_cross_entropy
1,-22.139808654785156,0.12974586391053589,2.076623901067411
2,-18.79943084716797,0.12901323841700638,2.1407352291485844
3,-18.74864387512207,0.12976350406353226,2.1053589821300087
4,-20.159027099609375,0.13034746499873506,2.081537476357292
5,-18.96177101135254,0.13018579619375306,2.1448957503718487
6,-21.011547088623047,0.1308910678275803,2.024151201633846
7,-19.053953170776367,0.130287773201379,2.266491581411923
8,-16.764490127563477,0.12786899148093725,2.2061712307965053
9,-19.471887588500977,0.13078141218043063,2.2564636981662582
10,-17.95630645751953,0.12911630549049588,2.405289435430485
11,-22.388076782226562,0.12966712081292528,1.8569859831648714
12,-20.12963104248047,0.13037559574018154,2.0961100182989063
13,-13.627988815307617,0.09637783879323235,2.678052267489525
14,-15.641366004943848,0.12906152939421242,2.287344572956071
15,-21.56616973876953,0.13062619801840683,2.018626077210202
16,-20.277070999145508,0.12775313142840977,1.9500871267827118
17,-20.514490127563477,0.13081756985890886,2.0402625279829785
18,-20.60471534729004,0.12782126573976063,1.9615217668606955
19,-16.259496688842773,0.1300877585487471,2.3972450255909385
20,-15.620926856994629,0.12945918799254855,2.303213321549051
21,-19.69072151184082,0.13044846501125343,2.253576298846918
22,-22.842504501342773,0.13104744107463936,2.045782909016399
23,-21.423978805541992,0.13072354727924054,2.077573121908833
24,-19.07463836669922,0.13019568408675045,2.310137370710864
25,-20.536048889160156,0.1145430995705941,2.1538924373686315
26,-19.532899856567383,0.13030088018080152,2.140885274419013
27,-22.477542877197266,0.13036972062452956,1.871992169715026
28,-20.228572845458984,0.12993920487359867,2.0865553810315975
29,-21.54533576965332,0.1305928003540102,1.993942013996489
30,-22.881284713745117,0.12924054296641949,1.85044115825611
31,-13.995096206665039,0.09606695087899658,2.700474988669157
32,-17.37164306640625,0.09668929268360947,2.5514338833208265
33,-16.57975959777832,0.09736990034573569,2.5897236813146334
34,-22.969404220581055,0.1297314697974209,2.0669851294335198
35,-20.082597732543945,0.13066356680669494,2.2560206053449825
36,-16.880550384521484,0.12920300814198618,2.383540187688435
37,-20.687946319580078,0.13010638917571843,2.1279764611493137
38,-18.258121490478516,0.1287874140732248,2.4007613652330986
39,-20.812257766723633,0.12878428778086218,1.9457497815875446
40,-20.87650489807129,0.1305710340634418,1.9910834311124157
41,-20.007190704345703,0.1311288701693385,2.2559481995070683
42,-22.197433471679688,0.13028259236836523,2.0087345073766567
43,-23.10211181640625,0.13071247292054822,2.039012686294668
44,-14.035382270812988,0.09571230245891832,2.671468206609671
45,-22.76585578918457,0.12939672945117828,1.9579688323771252
46,-20.866867065429688,0.12976440588575486,2.0732153594932137
47,-16.90227699279785,0.12782575910205918,2.2756665587863503
48,-20.486068725585938,0.13052051854081995,2.087913370088619
49,-21.06108283996582,0.1291500042219439,1.979067793006406
50,-19.569290161132812,0.1311650274594513,2.3066420204499187
51,-18.30975914001465,0.13163619639847207,2.237810540725203
52,-20.447084426879883,0.13100959153166536,2.227385798140484
53,-16.897214889526367,0.09692987323772351,2.574857433828024
54,-18.601856231689453,0.1282703388535719,2.1984625243965317
55,-16.820064544677734,0.1281948876024242,2.3023123721427776
56,-20.34874153137207,0.12962238479350585,2.0960273867582573
57,-22.56529998779297,0.12970828731987466,2.0154749505660114
58,-22.75419044494629,0.12917933440429896,1.8712677795659094
59,-20.408153533935547,0.1289067784506929,2.0911667307510093
60,-22.350561141967773,0.13087619500564476,2.0094790706301437
61,-22.81385612487793,0.13079402835867604,2.014696375850369
62,-22.622941970825195,0.13045724665542952,1.9670678214991795
63,-23.38649559020996,0.1294214160871889,2.0616662090315536
64,-17.45845603942871,0.13001760354154762,2.389885931549703
65,-17.09824562072754,0.09756543313668226,2.5748928043131647
66,-20.46012306213379,0.13061587187189164,2.2418021748171135
67,-20.819101333618164,0.13050439432157881,2.073480661958456
68,-17.226612091064453,0.12866494796971475,2.3125801813953064
69,-17.113372802734375,0.09808554272388989,2.605704127309414
70,-21.99495506286621,0.1309663072167495,2.068762221537969
71,-21.989864349365234,0.13074061033166462,2.0646287630147793
72,-21.253206253051758,0.12855813793489818,1.9315746387138086
73,-21.25605010986328,0.1317899724146141,2.0889436970738804
74,-23.094409942626953,0.13097038677911976,1.9601447395980358
75,-19.964689254760742,0.1308065952996828,2.2760557701044224
76,-16.061643600463867,0.09699956872193,2.6563006825745106
77,-21.048254013061523,0.13002976656873283,2.060597233035985
78,-21.252954483032227,0.12864659823311317,1.9319303590146935
79,-22.47020149230957,0.13055903993995543,2.000559922088595
80,-23.052017211914062,0.12982797476764046,1.8645872017916512
81,-20.378324508666992,0.12922105239634785,2.1267058586373047
82,-21.583511352539062,0.12983425407038085,2.1860878079691353
83,-23.350095748901367,0.13014261160631535,1.9479969945900582
84,-15.677339553833008,0.12516665637013896,2.3350080981412353
85,-22.23637580871582,0.13005646275536584,2.04259902107365
86,-21.355510711669922,0.1285102039555886,1.93143336452982
87,-21.46683120727539,0.13302280760004576,2.077863136854242
88,-19.86387825012207,0.1309654199717363,2.3047716014963737
89,-22.766496658325195,0.130200627879079,1.9977248964064263
90,-21.499347686767578,0.1138404521093063,2.1324655776222547
91,-21.339000701904297,0.1294211534890116,2.117278530755464
92,-18.829620361328125,0.13115294067439404,2.229263432981337
93,-15.732048988342285,0.12608227577572576,2.3414353368913425
94,-22.35120391845703,0.1308923391540573,2.042600728571415
95,-16.37179183959961,0.1022679171936264,2.65875931800558
96,-22.18146514892578,0.12781065208275638,2.1183259980205227
97,-19.84992790222168,0.13018175853408898,2.14779506996274
98,-20.89446258544922,0.13069640780939265,2.229374978033935
99,-18.636980056762695,0.1297171090490733,2.3125914644230816
100,-23.120723724365234,0.13052251319957614,1.9712163074051632
101,-21.427776336669922,0.1285884170935091,1.9248383192016798
102,-17.693172454833984,0.1296476043472542,2.2835008854813434
103,-20.397090911865234,0.12934604226964574,2.1248155183651867
104,-22.81979751586914,0.13071882304573765,2.034160644911668
105,-21.661569595336914,0.12935741464176576,1.9238232402678799
106,-20.37373924255371,0.1303852118173432,2.285557761350099
107,-23.397947311401367,0.13019442313041363,1.857131440192461
108,-23.531951904296875,0.1307898112882985,2.02852357573369
109,-23.736665725708008,0.12977571231656582,1.9388749634518343
110,-21.791912078857422,0.13334424741906958,2.0717063324854657
111,-23.307998657226562,0.13037346357082555,1.9690484143793583
112,-21.77763557434082,0.13066059373390995,2.0542773273499573
113,-21.636903762817383,0.12992872742326814,2.111365773002891
114,-23.911449432373047,0.13062631328355145,2.0052552058854523
115,-22.317827224731445,0.1281172794329933,2.1323676503756466
116,-23.22207260131836,0.1307882041766855,1.9776024868821396
117,-18.248340606689453,0.13074971112537254,2.2594137735226574
118,-23.39612579345703,0.13139865589221345,2.0067296157426693
119,-18.734458923339844,0.12921812736300756,2.3243603798396446
120,-21.287303924560547,0.12904088335420041,2.0763134323060513
121,-20.638187408447266,0.12855916572539017,2.1169326366747128
122,-23.14372444152832,0.1305523677342279,1.9909827847252874
123,-21.68008804321289,0.1286012232584012,1.9277053013005678
124,-23.675941467285156,0.13026970206043093,1.9909043007475489
125,-22.41172218322754,0.12918634708137672,2.129507245386348
126,-21.71677017211914,0.1287797234252141,1.9135708280784243
127,-23.348766326904297,0.13019777554955084,1.9679889486116522
128,-20.248592376708984,0.13093988227868467,2.3027359880506992
129,-23.965059280395508,0.13182882886717875,1.9397494904696941
130,-23.7360897064209,0.13017210562719633,1.9889693431117956
131,-23.908870697021484,0.13064027645036347,2.014725308646174
132,-24.297773361206055,0.13036755667366726,2.0068881605916165
133,-22.031652450561523,0.129332415445034,1.9138296169831472
134,-21.322980880737305,0.1304441617304104,2.222298393573831
135,-20.731401443481445,0.1305907298803467,2.2519061118364334
136,-21.748058319091797,0.12923061326762358,2.0478720222325886
137,-24.001583099365234,0.13057063838013014,1.8252177264760523
138,-18.292613983154297,0.12942669314806735,2.253029816729181
139,-22.59295654296875,0.13071003524688313,2.0613655634224415
140,-20.71922492980957,0.13087132002979898,2.2800529594807064
141,-23.535844802856445,0.13063851657674733,1.9995966731187176
142,-15.466004371643066,0.09332065674740032,2.6598027285474997
143,-23.712915420532227,0.12933015995190994,1.9459907982279272
144,-23.420368194580078,0.13072600556582675,1.9857096713693703
145,-22.210189819335938,0.12896253703806934,1.9119411573252256
146,-21.892765045166016,0.12982730062487172,2.0499008567455936
147,-24.303565979003906,0.13010369543599795,1.9290148291517706
148,-22.365161895751953,0.13058409494708095,2.068525387083783
149,-21.25273323059082,0.1289002173968624,2.05597899196779
150,-24.2111873626709,0.1300897323250696,2.0044234305181923
151,-20.562515258789062,0.13121390385685827,2.1419966549557796
152,-18.4985294342041,0.1299384280146073,2.24499798566103
153,-21.38233184814453,0.12958568772044443,2.06962203322088
154,-23.584854125976562,0.12985797805877208,1.9724611626828419
155,-18.75362205505371,0.09645802764734228,2.491061595483468
156,-22.233919143676758,0.1299913441172281,2.035889414960847
157,-21.44573211669922,0.12973347028108428,2.210258260369301
158,-21.821529388427734,0.12913819217823191,2.061160641777165
159,-17.2423152923584,0.0963762135740842,2.625671215928518
160,-22.56284523010254,0.1308662009405759,2.0588563636821857
161,-15.672451972961426,0.09462088052614488,2.6264283880591393
162,-24.414472579956055,0.13060030799183522,2.00233187920907
163,-19.473405838012695,0.1304745388450369,2.2942641217480686
164,-15.724040985107422,0.09403009259632539,2.619018571594587
165,-22.16790008544922,0.1299631752215826,2.04641911036828
166,-22.602367401123047,0.12911835408841482,2.1531906241879746
167,-15.784673690795898,0.09605736829077824,2.6724780660409193
168,-22.262893676757812,0.13334198858942803,2.1828740072600983
169,-18.733673095703125,0.09631923364916799,2.4999029776797843
170,-18.605520248413086,0.09597299974069595,2.5577892085107474
171,-21.474018096923828,0.12857504253965857,2.0985567966366516
