epoch,train_loss,train_preference_mae,train_cross_entropy
1,2.9266772270202637,0.474010101921537,2.7550804171795873
2,2.9250688552856445,0.47402503517920813,2.754512098914182
3,2.9234695434570312,0.47403999395638236,2.7539449917914514
4,2.9218826293945312,0.4740549367906839,2.7533781299452214
5,2.9203057289123535,0.474069901468876,2.752811409490691
6,2.9187397956848145,0.47408486749715684,2.75224516722797
7,2.9171831607818604,0.47409983800261696,2.7516789767383174
8,2.915637254714966,0.4741148250861132,2.7511132463220167
9,2.9141008853912354,0.4741298156560488,2.7505475757220252
10,2.9125750064849854,0.47414481712190515,2.7499820408411324
11,2.9110586643218994,0.4741598018355978,2.7494167805734007
12,2.9095542430877686,0.4741747898354397,2.748851474882527
13,2.908057928085327,0.4741897835518788,2.74828641561114
14,2.9065706729888916,0.4742047717198528,2.7477215293964203
15,2.905092239379883,0.47421976213341616,2.747156656685878
16,2.903623104095459,0.4742347418964974,2.7465923111885786
17,2.902162790298462,0.47424974242058243,2.746027807281776
18,2.90071177482605,0.47426472511538637,2.745463424446908
19,2.8992691040039062,0.474279706938168,2.7448993407782507
20,2.897836685180664,0.4742946952450629,2.744335350157185
21,2.896411418914795,0.47430968375339155,2.743771924129264
22,2.8949954509735107,0.4743246586830161,2.743208887648176
23,2.8935887813568115,0.47433963708473476,2.7426459847272118
24,2.8921902179718018,0.47435461594078904,2.742083050479943
25,2.8907995223999023,0.47436959198986467,2.7415203420360656
26,2.8894171714782715,0.4743845668485372,2.7409581014547837
27,2.888044595718384,0.4743995495301778,2.7403964134017853
28,2.88667893409729,0.47441452730795164,2.739835420200093
29,2.8853225708007812,0.4744294754914106,2.739274611188607
30,2.8839728832244873,0.47444436319025113,2.738713660108095
31,2.882631778717041,0.47445925676909845,2.738153150262819
32,2.881298542022705,0.4744741369611967,2.737592887091027
33,2.8799731731414795,0.4744890169629356,2.7370326525785704
34,2.878654956817627,0.47450389231243745,2.736472429792312
35,2.8773441314697266,0.47451875863995546,2.7359123594466257
36,2.8760409355163574,0.4745336240575352,2.7353525981730358
37,2.8747448921203613,0.4745484876291756,2.734792828644541
38,2.873457193374634,0.4745633348151244,2.734233232892372
39,2.8721771240234375,0.47457817976058486,2.733673892026259
40,2.8709025382995605,0.4745930196669985,2.733113867103715
41,2.869636058807373,0.4746078411089346,2.7325537597167897
42,2.868377208709717,0.4746226632121397,2.731993499381298
43,2.8671247959136963,0.47463746024036363,2.7314331734722312
44,2.865879535675049,0.47465226284287004,2.730873036748645
45,2.864640951156616,0.47466704899180245,2.730312488930808
46,2.8634068965911865,0.4746817680753782,2.729751205876131
47,2.8621785640716553,0.4746964965137366,2.7291887368244883
48,2.8609566688537598,0.4747112269607665,2.728625885591927
49,2.8597402572631836,0.47472595233075765,2.7280626749535175
50,2.8585307598114014,0.47474066613835614,2.7274992133660074
51,2.857327938079834,0.4747553933804342,2.726935781623152
52,2.8561313152313232,0.4747701263310436,2.7263722106052395
53,2.85494065284729,0.4747848448512116,2.7258083441464063
54,2.8537561893463135,0.47479959429760615,2.7252445825460283
55,2.8525781631469727,0.4748143248183741,2.7246805299496786
56,2.851405382156372,0.4748290572860892,2.7241164595312015
57,2.8502390384674072,0.47484379802740767,2.723552583166483
58,2.8490798473358154,0.4748585407617258,2.7229887791909277
59,2.8479254245758057,0.47487322769262214,2.722426137463613
60,2.8467776775360107,0.47488789879267707,2.7218649768778547
61,2.8456358909606934,0.47490260771326637,2.7213045786219565
62,2.844501256942749,0.4749173428441961,2.7207448508759793
63,2.8433732986450195,0.4749321098005998,2.7201855407858435
64,2.8422486782073975,0.4749469007080536,2.719626985490322
65,2.8411314487457275,0.4749617104532394,2.719068994533948
66,2.840019464492798,0.4749765587920388,2.718511431943625
67,2.838913679122925,0.4749914223196963,2.717954361049289
68,2.8378140926361084,0.47500630039279473,2.7173977121710777
69,2.836719512939453,0.47502121019780025,2.716841277920387
70,2.835630416870117,0.4750361429104761,2.7162843748757783
71,2.834547281265259,0.47505108487710984,2.715727398849346
72,2.833470344543457,0.4750660297440488,2.7151710516349836
73,2.832399845123291,0.4750809733373691,2.7146148353561084
74,2.8313345909118652,0.4750959047910703,2.71405842599713
75,2.8302745819091797,0.47511076311826544,2.7135022462091665
76,2.829218864440918,0.47512563580342987,2.7129459997469727
77,2.8281688690185547,0.4751404922936391,2.7123894542032345
78,2.8271234035491943,0.47515536577571743,2.7118332204408944
79,2.826082706451416,0.47517023827847316,2.711276974486695
80,2.825047492980957,0.4751850991466494,2.7107208020223137
81,2.82401704788208,0.4751999767247353,2.7101649504408916
82,2.8229916095733643,0.4752148472660556,2.709609082307328
83,2.8219704627990723,0.4752297136903957,2.7090533043850553
84,2.8209545612335205,0.47524459662737917,2.708497594364665
85,2.8199431896209717,0.4752594749523679,2.707941950256513
86,2.8189358711242676,0.4752743557365754,2.7073864515616815
87,2.8179328441619873,0.47528924255977806,2.7068309653550386
88,2.8169350624084473,0.4753041268451941,2.7062756758691235
89,2.815941095352173,0.4753190248112368,2.7057203637774694
90,2.8149526119232178,0.47533391360255733,2.7051648420112375
91,2.8139686584472656,0.475348824825412,2.7046095775440335
92,2.812988042831421,0.4753637261472461,2.7040549484928222
93,2.8120133876800537,0.47537862119332797,2.7035001534545287
94,2.8110430240631104,0.4753935303741646,2.702945406167683
95,2.8100762367248535,0.4754084437052733,2.7023907310583373
96,2.809114933013916,0.47542334560722027,2.7018360730091278
97,2.808156728744507,0.47543825569112813,2.7012815108861434
98,2.8072023391723633,0.47545314858912985,2.700726901265708
99,2.8062522411346436,0.47546804738624343,2.7001726491038096
100,2.8053059577941895,0.4754829330155678,2.699617531785572
101,2.80436110496521,0.4754978078116297,2.699062243400311
